year,name,pick,college,seasons,g,ws_48,bpm,vorp
2012,Jae Crowder,34,Marquette,11,751,.104,0.3,11.0
2012,Draymond Green,35,Michigan State,11,756,.126,2.5,24.7
2012,Orlando Johnson,36,UC Santa Barbara,3,103,.059,-2.4,-0.1
2012,Quincy Acy,37,Baylor,7,337,.078,-2.0,-0.1
2012,Quincy Miller,38,Baylor,3,69,-.003,-3.9,-0.5
2012,Khris Middleton,39,Texas A&M,11,684,.117,0.7,14.8
2012,Will Barton,40,Memphis,11,677,.074,-0.4,6.9
2012,Tyshawn Taylor,41,Kansas,2,61,-.088,-8.1,-0.8
2012,Doron Lamb,42,Kentucky,2,100,.005,-5.8,-1.2
2012,Mike Scott,43,Virginia,9,555,.088,-1.7,0.6
2012,Kim English,44,Missouri,1,41,.021,-4.2,-0.2
2012,Justin Hamilton,45,LSU,3,113,.091,-0.9,0.5
2012,Darius Miller,46,Kentucky,6,271,.059,-2.3,-0.4
2012,Kevin Murphy,47,Tennessee Technological University,1,17,-.272,-16.8,-0.2
2012,Kostas Papanikolaou,48,,2,69,.015,-2.7,-0.2
2012,Kyle O'Quinn,49,Norfolk State,8,472,.128,0.9,5.0
2012,İzzet Türkyılmaz,50,,,,,,
2012,Kris Joseph,51,Syracuse,1,10,-.127,-9.9,-0.1
2012,Ognjen Kuzmić,52,,2,37,.061,-5.6,-0.2
2012,Furkan Aldemir,53,,1,41,.122,-3.6,-0.2
2012,Tornike Shengelia,54,,2,45,-.032,-7.0,-0.3
2012,Darius Johnson-Odom,55,Marquette,2,7,-.597,-25.5,-0.1
2012,Tomislav Zubčić,56,,,,,,
2012,İlkan Karaman,57,,,,,,
2012,Robbie Hummel,58,Purdue,2,98,.066,-3.1,-0.4
2012,Marcus Denmon,59,Missouri,,,,,
2012,Robert Sacre,60,Gonzaga,4,189,.042,-4.0,-1.4
2013,Anthony Bennett,1,UNLV,4,151,.013,-4.8,-1.3
2013,Victor Oladipo,2,Indiana,10,502,.076,0.7,10.8
2013,Otto Porter Jr.,3,Georgetown,10,512,.132,1.8,12.6
2013,Cody Zeller,4,Indiana,10,507,.140,-0.6,4.0
2013,Alex Len,5,Maryland,10,594,.096,-2.0,0.1
2013,Nerlens Noel,6,Kentucky,9,467,.132,0.9,7.4
2013,Ben McLemore,7,Kansas,9,556,.035,-3.1,-3.4
2013,Kentavious Caldwell-Pope,8,Georgia,10,758,.084,-0.8,6.5
2013,Trey Burke,9,Michigan,9,498,.060,-1.3,1.7
2013,CJ McCollum,10,Lehigh,10,663,.101,1.3,17.5
2013,Michael Carter-Williams,11,Syracuse,9,392,.032,-1.2,1.9
2013,Steven Adams,12,Pitt,10,706,.150,0.5,12.1
2013,Kelly Olynyk,13,Gonzaga,10,676,.124,0.8,10.8
2013,Shabazz Muhammad,14,UCLA,5,278,.085,-2.0,0.0
2013,Giannis Antetokounmpo,15,,10,719,.198,6.2,48.6
2013,Lucas Nogueira,16,,4,141,.165,2.3,1.9
2013,Dennis Schröder,17,,10,687,.068,-1.4,2.9
2013,Shane Larkin,18,Miami (FL),4,256,.044,-2.4,-0.6
2013,Sergey Karasev,19,,3,95,.036,-3.4,-0.4
2013,Tony Snell,20,New Mexico,9,601,.068,-2.0,-0.1
2013,Gorgui Dieng,21,Louisville,10,626,.117,0.3,7.1
2013,Mason Plumlee,22,Duke,10,738,.148,1.4,14.3
2013,Solomon Hill,23,Arizona,9,448,.059,-2.1,-0.3
2013,Tim Hardaway Jr.,24,Michigan,10,657,.075,-0.9,5.0
2013,Reggie Bullock,25,UNC,10,511,.082,-1.1,2.6
2013,Andre Roberson,26,Colorado,7,307,.089,-0.6,2.3
2013,Rudy Gobert,27,,10,679,.221,3.6,29.1
2013,Livio Jean-Charles,28,,,,,,
2013,Archie Goodwin,29,Kentucky,4,165,.022,-3.0,-0.6
2013,Nemanja Nedović,30,,1,24,-.132,-10.0,-0.3
2013,Allen Crabbe,31,California,7,381,.072,-1.6,0.9
2013,Álex Abrines,32,,3,174,.086,-1.9,0.1
2013,Carrick Felix,33,Arizona State,1,7,.057,-3.4,0.0
2013,Isaiah Canaan,34,Murray State,6,235,.043,-2.4,-0.5
2013,Glen Rice Jr.,35,Georgia Tech,2,16,-.065,-6.6,-0.2
2013,Ray McCallum,36,Detroit Mercy,3,154,.035,-2.6,-0.4
2013,Tony Mitchell,37,University of North Texas,1,21,.151,0.4,0.0
2013,Nate Wolters,38,South Dakota State,3,84,.028,-2.6,-0.2
2013,Jeff Withey,39,Kansas,5,206,.157,0.5,1.3
2013,Grant Jerrett,40,Arizona,1,8,-.128,-10.8,-0.1
2013,Jamaal Franklin,41,San Diego State,2,24,-.006,-5.9,-0.2
2013,Pierre Jackson,42,Baylor,1,8,.021,-4.4,-0.1
2013,Ricky Ledo,43,Providence,2,28,-.096,-7.6,-0.4
2013,Mike Muscala,44,Bucknell,10,493,.119,0.1,4.1
2013,Marko Todorović,45,,,,,,
2013,Erick Green,46,Virginia Tech,2,52,.011,-4.0,-0.2
2013,Raul Neto,47,,8,433,.082,-1.5,0.9
2013,Ryan Kelly,48,Duke,4,163,.046,-2.6,-0.5
2013,Erik Murphy,49,Florida,1,24,-.055,-8.6,-0.1
2013,James Ennis III,50,Cal State Long Beach,8,395,.097,-1.5,0.9
2013,Romero Osby,51,Oklahoma,,,,,
2013,Lorenzo Brown,52,NC State,5,103,-.007,-3.5,-0.5
2013,Colton Iverson,53,Colorado State,,,,,
2013,Arsalan Kazemi,54,Oregon,,,,,
