year,name,team,first_team_votes,second_team_votes,total_score,max_possible_score,scaled_score
1996-97,Matt Maloney,2,,,,,
1995-96,Antonio McDyess,1,,,,,
1995-96,Joe Smith,1,,,,,
1995-96,Jerry Stackhouse,1,,,,,
1995-96,Damon Stoudamire,1,,,,,
1995-96,Michael Finley,1,,,,,
1995-96,Arvydas Sabonis,1,,,,,
1995-96,Brent Barry,2,,,,,
1995-96,Tyus Edney,2,,,,,
1995-96,Kevin Garnett,2,,,,,
1995-96,Bryant Reeves,2,,,,,
1995-96,Rasheed Wallace,2,,,,,
1994-95,Brian Grant,1,,,,,
1994-95,Grant Hill,1,,,,,
1994-95,Eddie Jones,1,,,,,
1994-95,Jason Kidd,1,,,,,
1994-95,Glenn Robinson,1,,,,,
1994-95,Juwan Howard,2,,,,,
1994-95,Eric Montross,2,,,,,
1994-95,Wesley Person,2,,,,,
1994-95,Jalen Rose,2,,,,,
1994-95,Donyell Marshall,2,,,,,
1994-95,Sharone Wright,2,,,,,
1993-94,Vin Baker,1,,,,,
1993-94,Anfernee Hardaway,1,,,,,
1993-94,Jamal Mashburn,1,,,,,
1993-94,Isaiah Rider,1,,,,,
1993-94,Chris Webber,1,,,,,
1993-94,Shawn Bradley,2,,,,,
1993-94,Lindsey Hunter,2,,,,,
1993-94,Toni Kukoč,2,,,,,
1993-94,Dino Radja,2,,,,,
1993-94,Nick Van Exel,2,,,,,
1992-93,LaPhonso Ellis,1,,,,,
1992-93,Tom Gugliotta,1,,,,,
1992-93,Christian Laettner,1,,,,,
1992-93,Alonzo Mourning,1,,,,,
1992-93,Shaquille O'Neal,1,,,,,
1992-93,Richard Dumas,2,,,,,
1992-93,Robert Horry,2,,,,,
1992-93,Latrell Sprewell,2,,,,,
1992-93,Clarence Weatherspoon,2,,,,,
1992-93,Walt Williams,2,,,,,
1991-92,Stacey Augmon,1,,,,,
1991-92,Larry Johnson,1,,,,,
1991-92,Dikembe Mutombo,1,,,,,
1991-92,Billy Owens,1,,,,,
1991-92,Steve Smith,1,,,,,
1991-92,Terrell Brandon,2,,,,,
1991-92,Rick Fox,2,,,,,
1991-92,Mark Macon,2,,,,,
1991-92,Stanley Roberts,2,,,,,
1991-92,Larry Stewart,2,,,,,
1990-91,Dee Brown,1,,,,,
1990-91,Derrick Coleman,1,,,,,
1990-91,Kendall Gill,1,,,,,
1990-91,Dennis Scott,1,,,,,
1990-91,Lionel Simmons,1,,,,,
1990-91,Mahmoud Abdul-Rauf,2,,,,,
1990-91,Willie Burton,2,,,,,
1990-91,Travis Mays,2,,,,,
1990-91,Gary Payton,2,,,,,
1990-91,Felton Spencer,2,,,,,
1989-90,Vlade Divac,1,,,,,
1989-90,Sherman Douglas,1,,,,,
1989-90,Tim Hardaway,1,,,,,
1989-90,Pooh Richardson,1,,,,,
1989-90,David Robinson,1,,,,,
1989-90,Blue Edwards,2,,,,,
1989-90,Sean Elliott,2,,,,,
1989-90,Stacey King,2,,,,,
1989-90,J.R. Reid,2,,,,,
1989-90,Glen Rice,2,,,,,
1988-89,Willie Anderson,1,,,,,
1988-89,Hersey Hawkins,1,,,,,
1988-89,Mitch Richmond,1,,,,,
1988-89,Charles Smith,1,,,,,
1988-89,Rik Smits,1,,,,,
1988-89,Rex Chapman,2,,,,,
1988-89,Kevin Edwards,2,,,,,
1988-89,Chris Morris,2,,,,,
1988-89,Brian Shaw,2,,,,,
1988-89,Rod Strickland,2,,,,,
1987-88,Greg Anderson,1,,,,,
1987-88,Armen Gilliam,1,,,,,
1987-88,Mark Jackson,1,,,,,
1987-88,Derrick McKey,1,,,,,
1987-88,Kenny Smith,1,,,,,
1986-87,Brad Daugherty,1,,,,,
1986-87,Ron Harper,1,,,,,
1986-87,Chuck Person,1,,,,,
1986-87,Roy Tarpley,1,,,,,
1986-87,Hot Rod Williams,1,,,,,
1985-86,Joe Dumars,1,,,,,
1985-86,Patrick Ewing,1,,,,,
1985-86,Karl Malone,1,,,,,
1985-86,Xavier McDaniel,1,,,,,
1985-86,Charles Oakley,1,,,,,
1984-85,Charles Barkley,1,,,,,
1984-85,Sam Bowie,1,,,,,
1984-85,Michael Jordan,1,,,,,
1984-85,Hakeem Olajuwon,1,,,,,
1984-85,Sam Perkins,1,,,,,
1983-84,Jeff Malone,1,,,,,
1983-84,Ralph Sampson,1,,,,,
1983-84,Byron Scott,1,,,,,
1983-84,Steve Stipanovich,1,,,,,
1983-84,Thurl Bailey,1,,,,,
1983-84,Darrell Walker,1,,,,,
1982-83,Terry Cummings,1,,,,,
1982-83,Quintin Dailey,1,,,,,
1982-83,Clark Kellogg,1,,,,,
1982-83,Dominique Wilkins,1,,,,,
1982-83,James Worthy,1,,,,,
1981-82,Jeff Ruland,1,,,,,
1981-82,Isiah Thomas,1,,,,,
1981-82,Kelly Tripucka,1,,,,,
1981-82,Jay Vincent,1,,,,,
1981-82,Buck Williams,1,,,,,
1980-81,Joe Barry Carroll,1,,,,,
1980-81,Darrell Griffith,1,,,,,
1980-81,Kevin McHale,1,,,,,
1980-81,Kelvin Ransey,1,,,,,
1980-81,Larry Smith,1,,,,,
1979-80,Larry Bird,1,,,,,
1979-80,Bill Cartwright,1,,,,,
1979-80,Dave Greenwood,1,,,,,
1979-80,Magic Johnson,1,,,,,
1979-80,Calvin Natt,1,,,,,
1978-79,Ron Brewer,1,,,,,
1978-79,Phil Ford,1,,,,,
1978-79,Reggie Theus,1,,,,,
1978-79,Mychal Thompson,1,,,,,
1978-79,Terry Tyler,1,,,,,
1977-78,Walter Davis,1,,,,,
1977-78,Marques Johnson,1,,,,,
1977-78,Bernard King,1,,,,,
1977-78,Norm Nixon,1,,,,,
1977-78,Jack Sikma,1,,,,,
1976-77,Adrian Dantley,1,,,,,
1976-77,Mitch Kupchak,1,,,,,
1976-77,Ron Lee,1,,,,,
1976-77,John Lucas,1,,,,,
1976-77,Scott May,1,,,,,
1975-76,Alvan Adams,1,,,,,
1975-76,Lionel Hollins,1,,,,,
1975-76,Joe Meriweather,1,,,,,
1975-76,John Shumate,1,,,,,
1975-76,Gus Williams,1,,,,,
1975-76,Ticky Burden,1,,,,,
1975-76,M.L. Carr,1,,,,,
1975-76,Kim Hughes,1,,,,,
1975-76,Mark Olberding,1,,,,,
1975-76,David Thompson,1,,,,,
1974-75,Tom Burleson,1,,,,,
1974-75,John Drew,1,,,,,
1974-75,Scott Wedman,1,,,,,
1974-75,Jamaal Wilkes,1,,,,,
1974-75,Brian Winters,1,,,,,
1974-75,Marvin Barnes,1,,,,,
1974-75,Gus Gerard,1,,,,,
1974-75,Bobby Jones,1,,,,,
1974-75,Billy Knight,1,,,,,
1974-75,Moses Malone,1,,,,,
1973-74,Mike Bantom,1,,,,,
1973-74,Ron Behagen,1,,,,,
1973-74,John Brown,1,,,,,
1973-74,Ernie DiGregorio,1,,,,,
1973-74,Nick Weatherspoon,1,,,,,
1973-74,Mike Green,1,,,,,
1973-74,Larry Kenon,1,,,,,
1973-74,Bo Lamar,1,,,,,
1973-74,Swen Nater,1,,,,,
1973-74,John Williamson,1,,,,,
1972-73,Freddie Boyd,1,,,,,
1972-73,Dwight Davis,1,,,,,
1972-73,Bob McAdoo,1,,,,,
1972-73,Lloyd Neal,1,,,,,
1972-73,Jim Price,1,,,,,
1972-73,Jim Chones,1,,,,,
1972-73,George Gervin,1,,,,,
1972-73,James Silas,1,,,,,
1972-73,Brian Taylor,1,,,,,
1972-73,Dennis Wuycik,1,,,,,
1971-72,Austin Carr,1,,,,,
1971-72,Phil Chenier,1,,,,,
1971-72,Clifford Ray,1,,,,,
1971-72,Elmore Smith,1,,,,,
1971-72,Sidney Wicks,1,,,,,
1971-72,Julius Erving,1,,,,,
1971-72,Artis Gilmore,1,,,,,
1971-72,George McGinnis,1,,,,,
1971-72,Johnny Neumann,1,,,,,
1971-72,John Roche,1,,,,,
1970-71,Dave Cowens,1,,,,,
1970-71,Bob Lanier,1,,,,,
1970-71,Pete Maravich,1,,,,,
1970-71,Calvin Murphy,1,,,,,
1970-71,Geoff Petrie,1,,,,,
1970-71,Joe Hamilton,1,,,,,
1970-71,Dan Issel,1,,,,,
1970-71,Wendell Ladner,1,,,,,
1970-71,Sam Robinson,1,,,,,
1970-71,Charlie Scott,1,,,,,
1969-70,Kareem Abdul-Jabbar,1,,,,,
1969-70,Bob Dandridge,1,,,,,
1969-70,Mike Davis,1,,,,,
1969-70,Dick Garrett,1,,,,,
1969-70,Jo Jo White,1,,,,,
1969-70,Mike Barrett,1,,,,,
1969-70,John Brisker,1,,,,,
1969-70,Mack Calvin,1,,,,,
1969-70,Spencer Haywood,1,,,,,
1969-70,Willie Wise,1,,,,,
1968-69,Gary Gregor,1,,,,,
1968-69,Art Harris,1,,,,,
1968-69,Elvin Hayes,1,,,,,
1968-69,Bill Hewitt,1,,,,,
1968-69,Wes Unseld,1,,,,,
1968-69,Ron Boone,1,,,,,
1968-69,Warren Jabali,1,,,,,
1968-69,Larry Miller,1,,,,,
1968-69,Gene Moore,1,,,,,
1968-69,Walt Piatkowski,1,,,,,
1967-68,Walt Frazier,1,,,,,
1967-68,Phil Jackson,1,,,,,
1967-68,Earl Monroe,1,,,,,
1967-68,Bob Rule,1,,,,,
1967-68,Al Tucker,1,,,,,
1967-68,Louie Dampier,1,,,,,
1967-68,Mel Daniels,1,,,,,
1967-68,Jimmy Jones,1,,,,,
1967-68,Bob Netolicky,1,,,,,
1967-68,Trooper Washington,1,,,,,
1966-67,Dave Bing,1,,,,,
1966-67,Lou Hudson,1,,,,,
1966-67,Jack Marin,1,,,,,
1966-67,Erwin Mueller,1,,,,,
1966-67,Cazzie Russell,1,,,,,
1965-66,Rick Barry,1,,,,,
1965-66,Billy Cunningham,1,,,,,
1965-66,Fred Hetzel,1,,,,,
1965-66,Dick Van Arsdale,1,,,,,
1965-66,Tom Van Arsdale,1,,,,,
1964-65,Jim Barnes,1,,,,,
1964-65,Luke Jackson,1,,,,,
1964-65,Howard Komives,1,,,,,
1964-65,Willis Reed,1,,,,,
1964-65,Joe Caldwell,1,,,,,
1964-65,Wali Jones,1,,,,,
1963-64,Art Heyman,1,,,,,
1963-64,Gus Johnson,1,,,,,
1963-64,Jerry Lucas,1,,,,,
1963-64,Rod Thorn,1,,,,,
1963-64,Nate Thurmond,1,,,,,
1962-63,Zelmo Beaty,1,,,,,
1962-63,Dave DeBusschere,1,,,,,
1962-63,Terry Dischinger,1,,,,,
1962-63,John Havlicek,1,,,,,
1962-63,Chet Walker,1,,,,,
